"Sed_ID";"2000";"500";"250";"63";"0";"sedID";"Sediment";"Texture";"D50(um)";"Mean.fw.phi";"Mean.fw.um";"Sand";"mud";"sed_Id";"Sed_class1";"Sed_class"
138;0;0.07;4.76;87.14;8.03;"X138";"Very Fine Sand,Poorly Sorted,Fine Skewed,Very Leptokurtic";"Sand";122.367;3.031;51.942;91.974;8.026;"138";"Very Fine Sand";"Very Fine Sand"
139;0;0.44;3.17;94.21;2.19;"X139";"Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";126.812;2.979;57.989;97.815;2.185;"139";"Fine Sand";"Fine Sand"
142;0;0.73;9.84;88.12;1.32;"X142";"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";134.916;2.89;65.489;98.684;1.316;"142";"Fine Sand";"Fine Sand"
143;0;0.45;6.71;89.96;2.88;"X143";"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";129.683;2.947;60.151;97.123;2.877;"143";"Fine Sand";"Fine Sand"
144;0;0.66;2.55;96.16;0.63;"X144";"Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";127.849;2.967;59.501;99.374;0.626;"144";"Fine Sand";"Fine Sand"
147;0;1.23;6.31;83.29;9.16;"X147";"Very Fine Sand,Poorly Sorted,Fine Skewed,Very Leptokurtic";"Sand";123.826;3.014;52.52;90.835;9.165;"147";"Very Fine Sand";"Very Fine Sand"
149;0;0.52;7.78;88.32;3.38;"X149";"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";130.407;2.939;60.546;96.621;3.379;"149";"Fine Sand";"Fine Sand"
151;0;5.04;49.94;43.94;1.08;"X151";"Fine Sand,Moderately Sorted,Very Fine Skewed,Platykurtic";"Sand";267.875;2.144;203.299;98.92;1.08;"151";"Fine Sand";"Fine Sand"
155;0;0.54;17.97;80.31;1.18;"X155";"Fine Sand,Moderately Sorted,Coarse Skewed,Platykurtic";"Sand";145.62;2.754;76.975;98.819;1.181;"155";"Fine Sand";"Fine Sand"
157;0;2.04;12.57;84.78;0.61;"X157";"Fine Sand,Moderately Sorted,Coarse Skewed,Mesokurtic";"Sand";140.622;2.83;71.135;99.39;0.61;"157";"Fine Sand";"Fine Sand"
162;0;1.26;1.23;95.56;1.96;"X162";"Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";125.978;2.989;57.372;98.044;1.956;"162";"Fine Sand";"Fine Sand"
163;0;0.36;1.26;95.6;2.78;"X163";"Very Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";124.453;3.006;55.772;97.219;2.781;"163";"Very Fine Sand";"Very Fine Sand"
165;0;0.39;8.12;90.63;0.86;"X165";"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand";133.016;2.91;63.983;99.14;0.86;"165";"Fine Sand";"Fine Sand"
168;0;0.83;2.86;95.15;1.17;"X168";"Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";127.813;2.968;59.257;98.835;1.165;"168";"Fine Sand";"Fine Sand"
169;0;0.31;1.21;97.43;1.04;"X169";"Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand";125.922;2.989;57.675;98.955;1.045;"169";"Fine Sand";"Fine Sand"
