"Sed_ID";"2000";"500";"250";"63";"0";"sedID";"D50(um)";"Mean.fw.phi";"Mean.fw.um";"mud";"Sand";"Sediment";"Texture"
61;0;0.65;7.98;40.37;3.41;"X61";137.196;2.859;64.99;6.506;93.494;"Fine Sand,Poorly Sorted,Fine Skewed,Leptokurtic";"Sand"
62;0;0.48;12.66;40.22;2.97;"X62";149.39;2.702;78.636;5.273;94.727;"Fine Sand,Moderately Sorted,Symmetrical,Mesokurtic";"Sand"
65;0;0.81;15.39;42.06;1.56999999999999;"X65";159.495;2.609;90.888;2.624;97.376;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand"
66;0;0.75;25.05;35.03;1.21;"X66";203.582;2.385;131.803;1.95;98.05;"Fine Sand,Moderately Sorted,Fine Skewed,Platykurtic";"Sand"
67;0;0.21;10.25;36.15;2.83;"X67";145.148;2.748;74.054;5.724;94.276;"Fine Sand,Poorly Sorted,Symmetrical,Mesokurtic";"Sand"
71;0;0.37;7.31;48.35;2.08;"X71";135.927;2.879;65.259;3.579;96.421;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand"
72;0;1.36;18.06;40.6;2.61000000000001;"X72";166.941;2.563;96.095;4.167;95.833;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand"
73;0;1.14;20.89;48.98;1.33000000000001;"X73";167.931;2.549;99.818;1.839;98.161;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand"
86;0;4.49;12.08;40.14;0.579999999999998;"X86";165.146;2.516;101.407;1.012;98.988;"Fine Sand,Poorly Sorted,Coarse Skewed,Mesokurtic";"Sand"
87;0;0.82;20.64;47.26;0.849999999999994;"X87";169.498;2.539;101.919;1.222;98.778;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand"
88;0;0.3;14.71;55.91;0.870000000000005;"X88";149.395;2.705;81.412;1.212;98.788;"Fine Sand,Moderately Sorted,Coarse Skewed,Platykurtic";"Sand"
89;0;2.85;43.22;22.8;0.129999999999995;"X89";300.972;1.986;278.576;0.188;99.812;"Medium Sand,Moderately Sorted,Very Fine Skewed,Mesokurtic";"Sand"
91;0;0.55;17.89;45.15;1.42999999999999;"X91";162.705;2.588;94.21;2.199;97.801;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand"
92;0;0.24;7.59;57.75;1.02;"X92";136.124;2.877;66.482;1.532;98.468;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand"
98;0;0.18;1.1;57.8;1.11;"X98";125.754;2.991;57.225;1.844;98.156;"Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand"
101;0;0.18;6.1;60.19;0.849999999999994;"X101";133.549;2.905;64.28;1.263;98.737;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand"
102;0;0.09;4.51;61.32;0.760000000000005;"X102";131.034;2.932;62.089;1.14;98.86;"Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand"
103;0;0.71;5.78;50.22;1.22;"X103";134.911;2.89;65.103;2.106;97.894;"Fine Sand,Moderately Sorted,Symmetrical,Mesokurtic";"Sand"
107;0;0.16;0.57;57.3;2.47000000000001;"X107";122.9;3.024;53.996;4.083;95.917;"Very Fine Sand,Moderately Well Sorted,Symmetrical,Platykurtic";"Sand"
109;0;0.39;10.53;38.96;2.66;"X109";145.243;2.747;74.644;5.063;94.937;"Fine Sand,Moderately Sorted,Symmetrical,Platykurtic";"Sand"
110;0;0.78;3.76;35.99;8.79;"X110";115.69;3.3;28.73;17.822;82.178;"Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic";"Muddy Sand"
